"Monthly age-standardised mortality rates by vaccination status by age group for all cause deaths, deaths involving COVID-19 and deaths not involving COVID-19, per 100,000 person-years, England, deaths occurring between 1 January 2021 and 31 May 2022"										
This worksheet contains 1 table.										
"Source: Source: Office for National Statistics, National Immunisation Management Service."										
Cause of Death	Year	Month	Age group	Vaccination status	Count of deaths	Person-years	"Age-standardised mortality rate / 100,000 person-years"	Noted as Unreliable	Lower confidence limit	Upper confidence limit
Deaths involving COVID-19	2021	November	80-89	"Third dose or booster, less than 21 days ago"	41	32245	127.1		91.2	172.4
Deaths involving COVID-19	2021	November	80-89	"Third dose or booster, at least 21 days ago"	132	104499	126.0		104.5	147.5
Deaths involving COVID-19	2021	November	90+	Unvaccinated	41	1166	3515.9		2522.8	4769.9
Deaths involving COVID-19	2021	November	90+	"First dose, less than 21 days ago"	<3	10	x		x	x
Deaths involving COVID-19	2021	November	90+	"First dose, at least 21 days ago"	10	246	4059.2	u	1943.3	7465.6
Deaths involving COVID-19	2021	November	90+	"Second dose, less than 21 days ago"	<3	27	x		x	x
Deaths involving COVID-19	2021	November	90+	"Second dose, at least 21 days ago"	299	8861	3374.5		3002.8	3779.5
Deaths involving COVID-19	2021	November	90+	"Third dose or booster, less than 21 days ago"	32	7467	428.5		293.1	605.0
Deaths involving COVID-19	2021	November	90+	"Third dose or booster, at least 21 days ago"	39	19968	195.3		138.9	267.0
Deaths involving COVID-19	2021	December	18-39	Unvaccinated	37	199655	19.7		13.8	27.2
Deaths involving COVID-19	2021	December	18-39	"First dose, less than 21 days ago"	<3	6257	x		x	x
Deaths involving COVID-19	2021	December	18-39	"First dose, at least 21 days ago"	<3	47524	x		x	x
Deaths involving COVID-19	2021	December	18-39	"Second dose, less than 21 days ago"	<3	12520	x		x	x
Deaths involving COVID-19	2021	December	18-39	"Second dose, at least 21 days ago"	11	489958	2.4	u	1.2	4.2
Deaths involving COVID-19	2021	December	18-39	"Third dose or booster, less than 21 days ago"	<3	127012	x		x	x
Deaths involving COVID-19	2021	December	18-39	"Third dose or booster, at least 21 days ago"	<3	63927	x		x	x
Deaths involving COVID-19	2021	December	40-49	Unvaccinated	54	58108	100.1		75.0	130.8
Deaths involving COVID-19	2021	December	40-49	"First dose, less than 21 days ago"	<3	947	x		x	x
Deaths involving COVID-19	2021	December	40-49	"First dose, at least 21 days ago"	4	9900	46.7	u	12.7	119.6
Deaths involving COVID-19	2021	December	40-49	"Second dose, less than 21 days ago"	<3	1889	x		x	x
Deaths involving COVID-19	2021	December	40-49	"Second dose, at least 21 days ago"	26	202907	12.9		8.4	18.9
Deaths involving COVID-19	2021	December	40-49	"Third dose or booster, less than 21 days ago"	<3	117386	x		x	x
Deaths involving COVID-19	2021	December	40-49	"Third dose or booster, at least 21 days ago"	6	73338	8.0	u	2.9	17.4
Deaths involving COVID-19	2021	December	50-59	Unvaccinated	98	38237	261.4		212.1	318.6
Deaths involving COVID-19	2021	December	50-59	"First dose, less than 21 days ago"	<3	488	x		x	x
Deaths involving COVID-19	2021	December	50-59	"First dose, at least 21 days ago"	9	6221	147.9	u	67.3	281.3
Deaths involving COVID-19	2021	December	50-59	"Second dose, less than 21 days ago"	<3	905	x		x	x
Deaths involving COVID-19	2021	December	50-59	"Second dose, at least 21 days ago"	92	150128	62.3		50.2	76.4
Deaths involving COVID-19	2021	December	50-59	"Third dose or booster, less than 21 days ago"	4	168801	2.4	u	0.6	6.1
Deaths involving COVID-19	2021	December	50-59	"Third dose or booster, at least 21 days ago"	23	180031	11.8		7.4	17.7
Deaths involving COVID-19	2021	December	60-69	Unvaccinated	120	21462	579.2		474.6	683.8
Deaths involving COVID-19	2021	December	60-69	"First dose, less than 21 days ago"	<3	193	x		x	x
Deaths involving COVID-19	2021	December	60-69	"First dose, at least 21 days ago"	18	2953	624.2	u	365.3	993.2
Deaths involving COVID-19	2021	December	60-69	"Second dose, less than 21 days ago"	<3	368	x		x	x
Deaths involving COVID-19	2021	December	60-69	"Second dose, at least 21 days ago"	174	64974	306.6		259.1	354.0
Deaths involving COVID-19	2021	December	60-69	"Third dose or booster, less than 21 days ago"	16	112682	16.2	u	9.1	26.5
Deaths involving COVID-19	2021	December	60-69	"Third dose or booster, at least 21 days ago"	73	248390	29.4		23.0	37.0
Deaths involving COVID-19	2021	December	70-79	Unvaccinated	136	10172	1362.8		1131.4	1594.2
Deaths involving COVID-19	2021	December	70-79	"First dose, less than 21 days ago"	<3	71	x		x	x
Deaths involving COVID-19	2021	December	70-79	"First dose, at least 21 days ago"	19	1357	1434.7	u	862.4	2242.5
Deaths involving COVID-19	2021	December	70-79	"Second dose, less than 21 days ago"	<3	149	x		x	x
Deaths involving COVID-19	2021	December	70-79	"Second dose, at least 21 days ago"	268	21202	1297.6		1141.5	1453.6
Deaths involving COVID-19	2021	December	70-79	"Third dose or booster, less than 21 days ago"	26	31565	89.5		57.8	131.9
Deaths involving COVID-19	2021	December	70-79	"Third dose or booster, at least 21 days ago"	165	302748	54.2		45.9	62.4
Deaths involving COVID-19	2021	December	80-89	Unvaccinated	171	4063	4189.5		3561.0	4818.0
Deaths involving COVID-19	2021	December	80-89	"First dose, less than 21 days ago"	<3	36	x		x	x
Deaths involving COVID-19	2021	December	80-89	"First dose, at least 21 days ago"	24	656	3491.6		2227.6	5208.0
Deaths involving COVID-19	2021	December	80-89	"Second dose, less than 21 days ago"	<3	80	x		x	x
Deaths involving COVID-19	2021	December	80-89	"Second dose, at least 21 days ago"	384	10523	3571.2		3210.8	3931.6
Deaths involving COVID-19	2021	December	80-89	"Third dose or booster, less than 21 days ago"	38	9777	376.0		265.4	517.0
Deaths involving COVID-19	2021	December	80-89	"Third dose or booster, at least 21 days ago"	266	149251	177.7		156.3	199.0
Deaths involving COVID-19	2021	December	90+	Unvaccinated	64	1181	5421.1		4174.7	6922.8
Deaths involving COVID-19	2021	December	90+	"First dose, less than 21 days ago"	<3	11	x		x	x
Deaths involving COVID-19	2021	December	90+	"First dose, at least 21 days ago"	10	223	4492.1	u	2150.5	8261.7
Deaths involving COVID-19	2021	December	90+	"Second dose, less than 21 days ago"	<3	29	x		x	x
Deaths involving COVID-19	2021	December	90+	"Second dose, at least 21 days ago"	167	3594	4646.1		3968.1	5406.7
Deaths involving COVID-19	2021	December	90+	"Third dose or booster, less than 21 days ago"	20	3303	605.6		369.7	935.3
Deaths involving COVID-19	2021	December	90+	"Third dose or booster, at least 21 days ago"	142	30574	464.4		391.2	547.4
Deaths involving COVID-19	2022	January	18-39	Unvaccinated	19	190493	10.8	u	6.5	16.9
Deaths involving COVID-19	2022	January	18-39	"First dose, less than 21 days ago"	<3	6207	x		x	x
Deaths involving COVID-19	2022	January	18-39	"First dose, at least 21 days ago"	<3	42854	x		x	x
Deaths involving COVID-19	2022	January	18-39	"Second dose, less than 21 days ago"	<3	9042	x		x	x
Deaths involving COVID-19	2022	January	18-39	"Second dose, at least 21 days ago"	7	285171	3.1	u	1.2	6.3
Deaths involving COVID-19	2022	January	18-39	"Third dose or booster, less than 21 days ago"	<3	125832	x		x	x
Deaths involving COVID-19	2022	January	18-39	"Third dose or booster, at least 21 days ago"	7	286765	2.4	u	0.9	5.0
Deaths involving COVID-19	2022	January	40-49	Unvaccinated	26	56984	47.0		30.6	69.1
Deaths involving COVID-19	2022	January	40-49	"First dose, less than 21 days ago"	<3	893	x		x	x
Deaths involving COVID-19	2022	January	40-49	"First dose, at least 21 days ago"	5	8998	61.3	u	19.7	143.6
Deaths involving COVID-19	2022	January	40-49	"Second dose, less than 21 days ago"	<3	1477	x		x	x
Deaths involving COVID-19	2022	January	40-49	"Second dose, at least 21 days ago"	19	86987	22.3	u	13.4	34.8
Deaths involving COVID-19	2022	January	40-49	"Third dose or booster, less than 21 days ago"	<3	56485	x		x	x
Deaths involving COVID-19	2022	January	40-49	"Third dose or booster, at least 21 days ago"	12	252143	4.5	u	2.3	7.8
Deaths involving COVID-19	2022	January	50-59	Unvaccinated	64	37625	170.5		131.3	217.8
Deaths involving COVID-19	2022	January	50-59	"First dose, less than 21 days ago"	<3	473	x		x	x
Deaths involving COVID-19	2022	January	50-59	"First dose, at least 21 days ago"	11	5812	201.8	u	100.5	361.4
Deaths involving COVID-19	2022	January	50-59	"Second dose, less than 21 days ago"	<3	748	x		x	x
Deaths involving COVID-19	2022	January	50-59	"Second dose, at least 21 days ago"	58	59445	99.3		75.3	128.5
Deaths involving COVID-19	2022	January	50-59	"Third dose or booster, less than 21 days ago"	5	36930	13.8	u	4.5	32.2
Deaths involving COVID-19	2022	January	50-59	"Third dose or booster, at least 21 days ago"	47	403481	11.5		8.4	15.3
Deaths involving COVID-19	2022	January	60-69	Unvaccinated	140	21300	679.6		566.0	793.3
Deaths involving COVID-19	2022	January	60-69	"First dose, less than 21 days ago"	<3	172	x		x	x
Deaths involving COVID-19	2022	January	60-69	"First dose, at least 21 days ago"	12	2778	465.5	u	236.9	818.6
Deaths involving COVID-19	2022	January	60-69	"Second dose, less than 21 days ago"	<3	301	x		x	x
Deaths involving COVID-19	2022	January	60-69	"Second dose, at least 21 days ago"	151	26946	606.0		507.1	704.9
Deaths involving COVID-19	2022	January	60-69	"Third dose or booster, less than 21 days ago"	10	14774	87.8	u	40.4	164.0
Deaths involving COVID-19	2022	January	60-69	"Third dose or booster, at least 21 days ago"	170	385521	44.2		37.5	50.8
Deaths involving COVID-19	2022	January	70-79	Unvaccinated	159	10107	1638.2		1381.2	1895.2
Deaths involving COVID-19	2022	January	70-79	"First dose, less than 21 days ago"	<3	56	x		x	x
Deaths involving COVID-19	2022	January	70-79	"First dose, at least 21 days ago"	33	1274	2614.1		1797.7	3673.4
Deaths involving COVID-19	2022	January	70-79	"Second dose, less than 21 days ago"	<3	116	x		x	x
Deaths involving COVID-19	2022	January	70-79	"Second dose, at least 21 days ago"	261	11357	2357.6		2070.7	2644.4
Deaths involving COVID-19	2022	January	70-79	"Third dose or booster, less than 21 days ago"	18	4252	450.9	u	266.6	713.6
Deaths involving COVID-19	2022	January	70-79	"Third dose or booster, at least 21 days ago"	547	340404	160.1		146.7	173.5
Deaths involving COVID-19	2022	January	80-89	Unvaccinated	161	3996	4009.0		3389.2	4628.8
Deaths involving COVID-19	2022	January	80-89	"First dose, less than 21 days ago"	3	27	9558.2	u	1971.1	27933.0
Deaths involving COVID-19	2022	January	80-89	"First dose, at least 21 days ago"	36	606	5538.8		3869.0	7681.4
Deaths involving COVID-19	2022	January	80-89	"Second dose, less than 21 days ago"	3	54	6143.2	u	1266.8	17953.0
Deaths involving COVID-19	2022	January	80-89	"Second dose, at least 21 days ago"	426	5886	7057.8		6383.1	7732.5
Deaths involving COVID-19	2022	January	80-89	"Third dose or booster, less than 21 days ago"	30	2085	1373.3		921.2	1967.6
Deaths involving COVID-19	2022	January	80-89	"Third dose or booster, at least 21 days ago"	1031	161804	632.4		593.8	671.0
Deaths involving COVID-19	2022	January	90+	Unvaccinated	121	1158	10450.4		8671.3	12487.1
Deaths involving COVID-19	2022	January	90+	"First dose, less than 21 days ago"	<3	9	x		x	x
Deaths involving COVID-19	2022	January	90+	"First dose, at least 21 days ago"	18	203	8863.0	u	5250.1	14008.2
Deaths involving COVID-19	2022	January	90+	"Second dose, less than 21 days ago"	<3	19	x		x	x
Deaths involving COVID-19	2022	January	90+	"Second dose, at least 21 days ago"	250	1832	13644.3		12005.2	15444.8
Deaths involving COVID-19	2022	January	90+	"Third dose or booster, less than 21 days ago"	22	783	2811.0		1761.0	4256.2
Deaths involving COVID-19	2022	January	90+	"Third dose or booster, at least 21 days ago"	704	34865	2019.2		1872.8	2174.1
Deaths involving COVID-19	2022	February	18-39	Unvaccinated	6	167248	3.8	u	1.4	8.2
Deaths involving COVID-19	2022	February	18-39	"First dose, less than 21 days ago"	<3	2981	x		x	x
Deaths involving COVID-19	2022	February	18-39	"First dose, at least 21 days ago"	3	39313	8.4	u	1.7	24.6
Deaths involving COVID-19	2022	February	18-39	"Second dose, less than 21 days ago"	<3	4918	x		x	x
Deaths involving COVID-19	2022	February	18-39	"Second dose, at least 21 days ago"	4	232455	2.2	u	0.6	5.7
Deaths involving COVID-19	2022	February	18-39	"Third dose or booster, less than 21 days ago"	<3	19296	x		x	x
Deaths involving COVID-19	2022	February	18-39	"Third dose or booster, at least 21 days ago"	<3	388262	x		x	x
Deaths involving COVID-19	2022	February	40-49	Unvaccinated	8	50959	17.1	u	7.3	33.9
Deaths involving COVID-19	2022	February	40-49	"First dose, less than 21 days ago"	<3	410	x		x	x
Deaths involving COVID-19	2022	February	40-49	"First dose, at least 21 days ago"	3	8080	36.1	u	7.2	106.2
Deaths involving COVID-19	2022	February	40-49	"Second dose, less than 21 days ago"	<3	758	x		x	x
Deaths involving COVID-19	2022	February	40-49	"Second dose, at least 21 days ago"	7	68430	10.7	u	4.3	22.1
Deaths involving COVID-19	2022	February	40-49	"Third dose or booster, less than 21 days ago"	<3	5725	x		x	x
Deaths involving COVID-19	2022	February	40-49	"Third dose or booster, at least 21 days ago"	8	284214	2.8	u	1.2	5.6
Deaths involving COVID-19	2022	February	50-59	Unvaccinated	22	33699	65.8		41.2	99.7
Deaths involving COVID-19	2022	February	50-59	"First dose, less than 21 days ago"	<3	224	x		x	x
Deaths involving COVID-19	2022	February	50-59	"First dose, at least 21 days ago"	8	5221	161.4	u	69.4	318.4
Deaths involving COVID-19	2022	February	50-59	"Second dose, less than 21 days ago"	<3	414	x		x	x
Deaths involving COVID-19	2022	February	50-59	"Second dose, at least 21 days ago"	14	47223	29.9	u	16.3	50.3
Deaths involving COVID-19	2022	February	50-59	"Third dose or booster, less than 21 days ago"	<3	3717	x		x	x
Deaths involving COVID-19	2022	February	50-59	"Third dose or booster, at least 21 days ago"	43	401033	10.5		7.6	14.2
Deaths involving COVID-19	2022	February	60-69	Unvaccinated	39	19187	203.3		144.0	278.6
Deaths involving COVID-19	2022	February	60-69	"First dose, less than 21 days ago"	<3	82	x		x	x
Deaths involving COVID-19	2022	February	60-69	"First dose, at least 21 days ago"	<3	2478	x		x	x
Deaths involving COVID-19	2022	February	60-69	"Second dose, less than 21 days ago"	<3	169	x		x	x
Deaths involving COVID-19	2022	February	60-69	"Second dose, at least 21 days ago"	33	21570	174.0		118.8	245.6
Deaths involving COVID-19	2022	February	60-69	"Third dose or booster, less than 21 days ago"	<3	1624	x		x	x
Deaths involving COVID-19	2022	February	60-69	"Third dose or booster, at least 21 days ago"	115	363690	31.8		26.0	37.6
Deaths involving COVID-19	2022	February	70-79	Unvaccinated	59	9125	675.6		512.9	873.2
Deaths involving COVID-19	2022	February	70-79	"First dose, less than 21 days ago"	<3	25	x		x	x
Deaths involving COVID-19	2022	February	70-79	"First dose, at least 21 days ago"	13	1121	1188.9	u	632.1	2034.6
Deaths involving COVID-19	2022	February	70-79	"Second dose, less than 21 days ago"	<3	62	x		x	x
Deaths involving COVID-19	2022	February	70-79	"Second dose, at least 21 days ago"	89	9091	1010.3		810.8	1244.0
Deaths involving COVID-19	2022	February	70-79	"Third dose or booster, less than 21 days ago"	4	671	601.7	u	163.3	1541.9
Deaths involving COVID-19	2022	February	70-79	"Third dose or booster, at least 21 days ago"	392	312284	124.9		112.5	137.2
Deaths involving COVID-19	2022	February	80-89	Unvaccinated	83	3580	2302.3		1833.3	2854.5
Deaths involving COVID-19	2022	February	80-89	"First dose, less than 21 days ago"	<3	12	x		x	x
Deaths involving COVID-19	2022	February	80-89	"First dose, at least 21 days ago"	17	528	3229.9	u	1873.5	5182.9
Deaths involving COVID-19	2022	February	80-89	"Second dose, less than 21 days ago"	<3	29	x		x	x
Deaths involving COVID-19	2022	February	80-89	"Second dose, at least 21 days ago"	146	4578	3090.6		2586.5	3594.7
Deaths involving COVID-19	2022	February	80-89	"Third dose or booster, less than 21 days ago"	6	380	1554.2	u	557.8	3406.1
Deaths involving COVID-19	2022	February	80-89	"Third dose or booster, at least 21 days ago"	839	148662	560.2		522.3	598.2
Deaths involving COVID-19	2022	February	90+	Unvaccinated	44	1031	4267.8		3100.6	5729.4
Deaths involving COVID-19	2022	February	90+	"First dose, less than 21 days ago"	<3	4	x		x	x
Deaths involving COVID-19	2022	February	90+	"First dose, at least 21 days ago"	14	175	8006.9	u	4373.7	13435.0
Deaths involving COVID-19	2022	February	90+	"Second dose, less than 21 days ago"	<3	10	x		x	x
Deaths involving COVID-19	2022	February	90+	"Second dose, at least 21 days ago"	89	1369	6502.8		5222.1	8002.4
Deaths involving COVID-19	2022	February	90+	"Third dose or booster, less than 21 days ago"	3	141	2121.9	u	426.5	6199.8
Deaths involving COVID-19	2022	February	90+	"Third dose or booster, at least 21 days ago"	592	32412	1826.5		1682.3	1979.7
Deaths involving COVID-19	2022	March	18-39	Unvaccinated	7	183001	4.3	u	1.7	8.9
Deaths involving COVID-19	2022	March	18-39	"First dose, less than 21 days ago"	<3	1471	x		x	x
Deaths involving COVID-19	2022	March	18-39	"First dose, at least 21 days ago"	3	42486	8.9	u	1.6	26.6
Deaths involving COVID-19	2022	March	18-39	"Second dose, less than 21 days ago"	<3	3983	x		x	x
Deaths involving COVID-19	2022	March	18-39	"Second dose, at least 21 days ago"	<3	249654	x		x	x
Deaths involving COVID-19	2022	March	18-39	"Third dose or booster, less than 21 days ago"	<3	10340	x		x	x
Deaths involving COVID-19	2022	March	18-39	"Third dose or booster, at least 21 days ago"	8	454768	1.7	u	0.7	3.3
Deaths involving COVID-19	2022	March	40-49	Unvaccinated	4	56331	7.2	u	1.9	18.7
Deaths involving COVID-19	2022	March	40-49	"First dose, less than 21 days ago"	<3	165	x		x	x
Deaths involving COVID-19	2022	March	40-49	"First dose, at least 21 days ago"	<3	8700	x		x	x
Deaths involving COVID-19	2022	March	40-49	"Second dose, less than 21 days ago"	<3	582	x		x	x
Deaths involving COVID-19	2022	March	40-49	"Second dose, at least 21 days ago"	4	72935	5.3	u	1.4	13.5
Deaths involving COVID-19	2022	March	40-49	"Third dose or booster, less than 21 days ago"	<3	2655	x		x	x
Deaths involving COVID-19	2022	March	40-49	"Third dose or booster, at least 21 days ago"	17	321369	5.2	u	3.0	8.4
Deaths involving COVID-19	2022	March	50-59	Unvaccinated	17	37284	46.4	u	27.0	74.3
Deaths involving COVID-19	2022	March	50-59	"First dose, less than 21 days ago"	<3	79	x		x	x
Deaths involving COVID-19	2022	March	50-59	"First dose, at least 21 days ago"	<3	5645	x		x	x
Deaths involving COVID-19	2022	March	50-59	"Second dose, less than 21 days ago"	<3	315	x		x	x
Deaths involving COVID-19	2022	March	50-59	"Second dose, at least 21 days ago"	13	50435	26.2	u	13.9	44.8
Deaths involving COVID-19	2022	March	50-59	"Third dose or booster, less than 21 days ago"	<3	1725	x		x	x
Deaths involving COVID-19	2022	March	50-59	"Third dose or booster, at least 21 days ago"	43	448449	9.4		6.8	12.7
Deaths involving COVID-19	2022	March	60-69	Unvaccinated	21	21284	101.9		62.7	156.2
Deaths involving COVID-19	2022	March	60-69	"First dose, less than 21 days ago"	<3	34	x		x	x
Deaths involving COVID-19	2022	March	60-69	"First dose, at least 21 days ago"	5	2692	187.1	u	58.3	441.5
Deaths involving COVID-19	2022	March	60-69	"Second dose, less than 21 days ago"	<3	126	x		x	x
Deaths involving COVID-19	2022	March	60-69	"Second dose, at least 21 days ago"	26	23116	123.3		79.6	181.8
Deaths involving COVID-19	2022	March	60-69	"Third dose or booster, less than 21 days ago"	<3	751	x		x	x
Deaths involving COVID-19	2022	March	60-69	"Third dose or booster, at least 21 days ago"	117	405343	29.1		23.8	34.4
Deaths involving COVID-19	2022	March	70-79	Unvaccinated	53	10133	554.3		414.2	726.4
Deaths involving COVID-19	2022	March	70-79	"First dose, less than 21 days ago"	<3	13	x		x	x
Deaths involving COVID-19	2022	March	70-79	"First dose, at least 21 days ago"	10	1208	869.4	u	416.4	1599.8
Deaths involving COVID-19	2022	March	70-79	"Second dose, less than 21 days ago"	<3	48	x		x	x
Deaths involving COVID-19	2022	March	70-79	"Second dose, at least 21 days ago"	67	9581	723.8		560.5	919.7
Deaths involving COVID-19	2022	March	70-79	"Third dose or booster, less than 21 days ago"	<3	391	x		x	x
Deaths involving COVID-19	2022	March	70-79	"Third dose or booster, at least 21 days ago"	470	347203	134.3		122.2	146.5
Deaths involving COVID-19	2022	March	80-89	Unvaccinated	59	3945	1471.3		1119.7	1898.2
Deaths involving COVID-19	2022	March	80-89	"First dose, less than 21 days ago"	<3	8	x		x	x
Deaths involving COVID-19	2022	March	80-89	"First dose, at least 21 days ago"	15	564	2600.7	u	1449.0	4299.1
Deaths involving COVID-19	2022	March	80-89	"Second dose, less than 21 days ago"	<3	23	x		x	x
Deaths involving COVID-19	2022	March	80-89	"Second dose, at least 21 days ago"	105	4756	2180.7		1761.6	2599.9
Deaths involving COVID-19	2022	March	80-89	"Third dose or booster, less than 21 days ago"	<3	201	x		x	x
Deaths involving COVID-19	2022	March	80-89	"Third dose or booster, at least 21 days ago"	945	165320	566.9		530.7	603.0
Deaths involving COVID-19	2022	March	90+	Unvaccinated	40	1135	3524.2		2517.4	4799.1
Deaths involving COVID-19	2022	March	90+	"First dose, less than 21 days ago"	<3	2	x		x	x
Deaths involving COVID-19	2022	March	90+	"First dose, at least 21 days ago"	8	187	4286.7	u	1845.8	8447.1
Deaths involving COVID-19	2022	March	90+	"Second dose, less than 21 days ago"	<3	7	x		x	x
Deaths involving COVID-19	2022	March	90+	"Second dose, at least 21 days ago"	62	1402	4423.7		3391.4	5671.1
Deaths involving COVID-19	2022	March	90+	"Third dose or booster, less than 21 days ago"	<3	67	x		x	x
Deaths involving COVID-19	2022	March	90+	"Third dose or booster, at least 21 days ago"	730	36163	2018.6		1874.8	2170.5
Deaths involving COVID-19	2022	April	18-39	Unvaccinated	<3	175810	x		x	x
Deaths involving COVID-19	2022	April	18-39	"First dose, less than 21 days ago"	<3	933	x		x	x
Deaths involving COVID-19	2022	April	18-39	"First dose, at least 21 days ago"	<3	39111	x		x	x
Deaths involving COVID-19	2022	April	18-39	"Second dose, less than 21 days ago"	<3	2835	x		x	x
Deaths involving COVID-19	2022	April	18-39	"Second dose, at least 21 days ago"	3	236715	1.2	u	0.2	3.6
Deaths involving COVID-19	2022	April	18-39	"Third dose or booster, less than 21 days ago"	<3	7414	x		x	x
Deaths involving COVID-19	2022	April	18-39	"Third dose or booster, at least 21 days ago"	6	451823	1.3	u	0.5	2.9
Deaths involving COVID-19	2022	April	40-49	Unvaccinated	5	54593	8.5	u	2.7	20.0
Deaths involving COVID-19	2022	April	40-49	"First dose, less than 21 days ago"	<3	99	x		x	x
Deaths involving COVID-19	2022	April	40-49	"First dose, at least 21 days ago"	<3	8087	x		x	x
Deaths involving COVID-19	2022	April	40-49	"Second dose, less than 21 days ago"	<3	359	x		x	x
Deaths involving COVID-19	2022	April	40-49	"Second dose, at least 21 days ago"	5	68890	7.2	u	2.3	16.8
Deaths involving COVID-19	2022	April	40-49	"Third dose or booster, less than 21 days ago"	<3	1746	x		x	x
Deaths involving COVID-19	2022	April	40-49	"Third dose or booster, at least 21 days ago"	11	313419	3.5	u	1.8	6.3
Deaths involving COVID-19	2022	April	50-59	Unvaccinated	7	36115	19.8	u	8.0	40.9
Deaths involving COVID-19	2022	April	50-59	"First dose, less than 21 days ago"	<3	50	x		x	x
Deaths involving COVID-19	2022	April	50-59	"First dose, at least 21 days ago"	4	5271	79.8	u	21.6	204.6
Deaths involving COVID-19	2022	April	50-59	"Second dose, less than 21 days ago"	<3	196	x		x	x
Deaths involving COVID-19	2022	April	50-59	"Second dose, at least 21 days ago"	12	47657	25.8	u	13.3	45.1
Deaths involving COVID-19	2022	April	50-59	"Third dose or booster, less than 21 days ago"	<3	1168	x		x	x
Deaths involving COVID-19	2022	April	50-59	"Third dose or booster, at least 21 days ago"	54	435493	12.2		9.2	15.9
Deaths involving COVID-19	2022	April	60-69	Unvaccinated	27	20677	137.4		90.1	200.4
Deaths involving COVID-19	2022	April	60-69	"First dose, less than 21 days ago"	<3	21	x		x	x
Deaths involving COVID-19	2022	April	60-69	"First dose, at least 21 days ago"	7	2535	281.1	u	109.9	584.9
Deaths involving COVID-19	2022	April	60-69	"Second dose, less than 21 days ago"	<3	79	x		x	x
Deaths involving COVID-19	2022	April	60-69	"Second dose, at least 21 days ago"	35	21964	163.6		112.8	229.1
Deaths involving COVID-19	2022	April	60-69	"Third dose or booster, less than 21 days ago"	<3	494	x		x	x
Deaths involving COVID-19	2022	April	60-69	"Third dose or booster, at least 21 days ago"	178	393938	45.6		38.9	52.3
Deaths involving COVID-19	2022	April	70-79	Unvaccinated	39	9845	419.9		297.7	575.1
Deaths involving COVID-19	2022	April	70-79	"First dose, less than 21 days ago"	<3	11	x		x	x
Deaths involving COVID-19	2022	April	70-79	"First dose, at least 21 days ago"	12	1140	1065.3	u	549.3	1862.5
Deaths involving COVID-19	2022	April	70-79	"Second dose, less than 21 days ago"	<3	31	x		x	x
Deaths involving COVID-19	2022	April	70-79	"Second dose, at least 21 days ago"	59	8844	695.0		528.5	897.3
Deaths involving COVID-19	2022	April	70-79	"Third dose or booster, less than 21 days ago"	<3	331	x		x	x
Deaths involving COVID-19	2022	April	70-79	"Third dose or booster, at least 21 days ago"	634	336955	186.2		171.7	200.7
Deaths involving COVID-19	2022	April	80-89	Unvaccinated	78	3803	2020.8		1597.1	2522.5
Deaths involving COVID-19	2022	April	80-89	"First dose, less than 21 days ago"	<3	7	x		x	x
Deaths involving COVID-19	2022	April	80-89	"First dose, at least 21 days ago"	8	528	1416.7	u	608.1	2797.5
Deaths involving COVID-19	2022	April	80-89	"Second dose, less than 21 days ago"	<3	15	x		x	x
Deaths involving COVID-19	2022	April	80-89	"Second dose, at least 21 days ago"	76	4227	1754.0		1380.3	2197.3
Deaths involving COVID-19	2022	April	80-89	"Third dose or booster, less than 21 days ago"	<3	262	x		x	x
Deaths involving COVID-19	2022	April	80-89	"Third dose or booster, at least 21 days ago"	1269	160660	783.1		740.0	826.2
Deaths involving COVID-19	2022	April	90+	Unvaccinated	49	1094	4477.0		3311.8	5918.9
Deaths involving COVID-19	2022	April	90+	"First dose, less than 21 days ago"	<3	2	x		x	x
Deaths involving COVID-19	2022	April	90+	"First dose, at least 21 days ago"	12	172	6995.0	u	3610.3	12219.7
Deaths involving COVID-19	2022	April	90+	"Second dose, less than 21 days ago"	<3	6	x		x	x
Deaths involving COVID-19	2022	April	90+	"Second dose, at least 21 days ago"	69	1227	5622.9		4374.7	7116.2
Deaths involving COVID-19	2022	April	90+	"Third dose or booster, less than 21 days ago"	<3	93	x		x	x
Deaths involving COVID-19	2022	April	90+	"Third dose or booster, at least 21 days ago"	905	35211	2570.2		2405.5	2743.3
Deaths involving COVID-19	2022	May	18-39	Unvaccinated	<3	180720	x		x	x
Deaths involving COVID-19	2022	May	18-39	"First dose, less than 21 days ago"	<3	760	x		x	x
Deaths involving COVID-19	2022	May	18-39	"First dose, at least 21 days ago"	<3	38827	x		x	x
Deaths involving COVID-19	2022	May	18-39	"Second dose, less than 21 days ago"	<3	2289	x		x	x
Deaths involving COVID-19	2022	May	18-39	"Second dose, at least 21 days ago"	<3	238300	x		x	x
Deaths involving COVID-19	2022	May	18-39	"Third dose or booster, less than 21 days ago"	<3	7718	x		x	x
Deaths involving COVID-19	2022	May	18-39	"Third dose or booster, at least 21 days ago"	<3	476178	x		x	x
Deaths involving COVID-19	2022	May	40-49	Unvaccinated	3	56504	5.7	u	1.1	16.7
Deaths involving COVID-19	2022	May	40-49	"First dose, less than 21 days ago"	<3	83	x		x	x
Deaths involving COVID-19	2022	May	40-49	"First dose, at least 21 days ago"	<3	8161	x		x	x
Deaths involving COVID-19	2022	May	40-49	"Second dose, less than 21 days ago"	<3	245	x		x	x
